[2025-08-26T09:49:49.680+08:00] resRect { left: 318, top: 204, width: 27, height: 23 }
[2025-08-26T09:50:01.260+08:00] resRect { left: 100, top: 623, width: 95, height: 81 }
[2025-08-26T09:50:12.564+08:00] resRect { left: 29, top: 716, width: 29, height: 18 }
[2025-08-26T09:50:43.777+08:00] resRect { left: 319, top: 108, width: 23, height: 19 }
[2025-08-26T09:50:52.454+08:00] resRect { left: 54, top: 147, width: 66, height: 39 }
[2025-08-26T09:50:58.600+08:00] resRect { left: 25, top: 60, width: 9, height: 11 }
[2025-08-26T09:51:24.148+08:00] resRect { left: 319, top: 108, width: 23, height: 23 }
[2025-08-26T09:51:33.140+08:00] resRect { left: 54, top: 147, width: 66, height: 39 }
[2025-08-26T09:51:40.292+08:00] resRect { left: 25, top: 60, width: 9, height: 11 }
[2025-08-26T09:56:05.447+08:00] resRect { left: 319, top: 106, width: 23, height: 22 }
[2025-08-26T09:56:14.024+08:00] resRect { left: 54, top: 147, width: 66, height: 39 }
[2025-08-26T09:56:19.832+08:00] resRect { left: 25, top: 60, width: 9, height: 11 }
[2025-08-26T10:01:54.667+08:00] resRect { left: 321, top: 98, width: 19, height: 19 }
[2025-08-26T10:02:03.440+08:00] resRect { left: 54, top: 213, width: 64, height: 33 }
[2025-08-26T10:02:10.499+08:00] resRect { left: 25, top: 60, width: 9, height: 11 }
[2025-08-26T10:02:37.868+08:00] resRect { left: 320, top: 241, width: 30, height: 48 }
[2025-08-26T10:02:50.181+08:00] resRect { left: 324, top: 465, width: 16, height: 22 }
[2025-08-26T10:03:02.278+08:00] resRect { left: 279, top: 51, width: 21, height: 17 }
[2025-08-26T10:09:54.660+08:00] resRect { left: 320, top: 89, width: 25, height: 27 }
[2025-08-26T10:10:04.954+08:00] resRect { left: 56, top: 210, width: 62, height: 37 }
[2025-08-26T10:10:11.595+08:00] resRect { left: 25, top: 60, width: 9, height: 11 }
[2025-08-26T10:10:39.690+08:00] resRect { left: 320, top: 108, width: 25, height: 28 }
[2025-08-26T10:10:49.236+08:00] resRect { left: 56, top: 209, width: 62, height: 38 }
[2025-08-26T10:10:55.505+08:00] resRect { left: 25, top: 60, width: 9, height: 11 }
[2025-08-26T10:38:03.645+08:00] resRect { left: 320, top: 114, width: 25, height: 26 }
[2025-08-26T10:38:12.856+08:00] resRect { left: 56, top: 209, width: 62, height: 38 }
[2025-08-26T10:38:19.818+08:00] resRect { left: 25, top: 60, width: 9, height: 11 }
